CollarID,code,Attr_val,cleaned_text,Fuzzy_wuzzy,Score,
11410,GR,Granite,granite,granite,101,
11410,MG,Gabbro,gabbro,gabbro,101,
11410,SA,Undifferentiated arenite,arenite,arenite,101,
11410,CL,Clay,clay,mud,101,
12411,Gr,Granitiod undifferentiated,granitiod un,Other,76,
12411,Xs,Schists [undifferentiated],schist,schist,101,
12411,Iv,Andesite [undifferentiated],andesite,andesite,101,
12411,Grt,Granite,granite,granite,101,
12411,Sl,Silts [undifferentiated],silt,mud,101,
12411,Qsc,Colluvium - local coarse,colluvium local,colluvium,100,
1286,UTC,Talc-Chlorite schist,talc chlorite schist,schist,101,
1286,MHM,High Mag Basalt,high mag basalt,basalt,101,
1286,MDO,Dolerite,dolerite,dolerite,101,
1286,S,Sedimentary rocks-undivided,sedimentary rocks undivided,Other,74,
1286,MGB,Gabbro,gabbro,gabbro,101,
1286,SCH,Chert,chert,chert,101,
1286,MUN,Mafic Undiff,mafic,mafic,101,
1286,SDL,Dolomite,dolomite,dolostone,101,
1286,SSH,Shale,shale,mudstone,101,
1286,USC,Ultramafic Schist,ultramafic schist,schist,101,
1286,NSR,No sample-return,sample return,Other,64,
1286,UUN,Ultramafic undiff,ultramafic,Other,80,
1286,U,Ultramafic rocks-undivided,ultramafic rocks undivided,Other,73,
1286,A,Altered beyond recognition,altered beyond recognition,unclassified_rock,92,
1286,A,Altered rock unknown precursor,altered rocks ,unclassified_rock,81,
1286,BIF,BIF,bif,banded_iron_formation,101,
1286,SBI,Banded Iron Formation BIF,banded iron formation,Other,71,
1286,MSC,Schist,schist,schist,101,
1286,SUN,Sediment undiff,sediment,sediment,101,
1286,SSS,Siltstone,siltstone,mudstone,101,
1286,SSD,Sandstone,sandstone,sandstone,101,
1286,NR,Not logged\recorded,loggedrecorded,unclassified_rock,85,
1286,M,Mafic-undivided,mafic undivided,mafic,100,
1286,LMZ,Mottled Zone,mottled zone,mottled_zone,92,
1286,SIF,Banded iron-formation,banded iron formation,Other,71,
1286,ASK,Silica Altered,silica altered,Other,59,
1286,MGA,Gabbro,gabbro,gabbro,101,
1286,SBS,Black Shale,black shale,mudstone,101,
1286,MBA,Basalt,basalt,basalt,101,
1286,SIS,Ironstone,ironstone,ironstone,101,
1311,TCP,Tertiary palaeochannel pisolith gravel,tertiary palaeochannel pisolith gravel,gravel,101,
1311,MD,Dolerite,dolerite,dolerite,101,
1311,MBH,High-Mg basalt,high mg basalt,basalt,101,
1311,FGD,Granodiorite,granodiorite,granodiorite,101,
1311,QCM,Quaternary colluvium - pebble rich,quaternary colluvium pebble rich,colluvium,100,
1311,MB,Basalt,basalt,basalt,101,
1311,BIF,Banded iron formation,banded iron formation,Other,71,
1311,QZ,Quartz,quartz,vein,101,
1311,TCC,Tertiary palaeochannel clay,tertiary palaeochannel clay,mud,101,
1311,FD,Dacite volcanic rock,dacite volcanic rocks ,dacite,100,
1311,TCS,Tertiary palaeochannel clayey sand,tertiary palaeochannel clayey sand,sand,101,
1311,QCF,Quaternary colluvium - fine  grained <5 mm maximum particle size,quaternary colluvium fine grained,colluvium,100,
1311,QCC,Quaternary colluvium - boulder rich,quaternary colluvium boulder rich,colluvium,100,
1311,QZ,Vein quartz,vein quartz,vein,101,
1562,S,Sediment - Undfferentiated,sediment undfferentiated,sediment,100,
1562,SS,Sediment Schist,sediment schist,schist,101,
1608,Rcc,Residual calcrete,residual calcrete,calcrete,101,
1608,Fg,granite,granite,granite,101,
1608,Fg,granite ,granite,granite,101,
1608,Fr,rhyolite,rhyolite,rhyolite,101,
1608,Rso,residual saprolite oxidised ,residual saprolite oxidised,saprolite,100,
1608,Rso,residual saprolite oxidised,residual saprolite oxidised,saprolite,100,
1608,Tsd,Transported sand,transported sand,sand,101,
1608,Mgb,gabbro,gabbro,gabbro,101,
1608,Rsp,Saprolite - pallid zone,saprolite pallid zone,saprolite,100,
1608,Rsp,residual saprolite pallid,residual saprolite pallid,saprolite,100,
1608,Rsp,Saprolite  pallid zone,saprolite pallid zone,saprolite,100,
1621,Z,mixed unit,mixed unit,Other,62,
1621,V,Vein,vein,vein,101,
1621,Sx,breccia origin unknown,breccia origin unknown,unclassified_rock,101,
1621,Sc,conglomerate,conglomerate,conglomerate,101,
1621,Sx,sedimentary breccia,sedimentary breccia,breccia,101,
1621,Sct,chert,chert,chert,101,
1621,M,mafic rocks undivided,mafic rocks ,mafic,100,
1621,Mb,basalt,basalt,basalt,101,
1621,Fgd,granodiorite,granodiorite,granodiorite,101,
1621,Spt,siltstone,siltstone,mudstone,101,
1621,Msc,mafic schist undivided,mafic schist,schist,101,
1621,Ssq,quartzite,quartzite,quartzite,101,
1621,Sps,sandstone,sandstone,sandstone,101,
1621,Utc,talc-carbonate schist/rock,talc carbonate schist rocks ,schist,100,
1621,Sp,metapsammite undivided,psammite,sandstone,101,
1621,Tx,tectonic breccia cataclasite brittle fault,tectonic breccia cataclasite brittle fault,fault,101,
1621,Tm,mylonite ductile shear zone,mylonite ductile shear zone,mylonite,100,
1621,Lf,laterite ferruginous duricrust developed in situ over bedrock,laterite ferruginous duricrust developed situ bedrock,unclassified_rock,101,
1621,Ssh,shale,shale,mudstone,101,
1621,Uts,talc-serpentine-carbonateschist/rock,talc serpentineschist rocks ,talc_rock,100,
1621,Eo,erosional soil,erosional soil,soil,101,
1621,Cx,contamianted disturbed ground,contamianted disturbed ground,Other,71,
1621,Md,dolerite,dolerite,dolerite,101,
1621,NSR,no sample return,sample return,Other,64,
1621,SIF,Banded iron formation,banded iron formation,Other,71,
1621,Tc,cataclasite,cataclasite,cataclasite,101,
1621,Ccl,colluvial lag,colluvial lag,lag,101,
1621,Fi,intrusive dyke sill etc,intrusive,coarse_grained_plutonic_crystalline_igneous_rock,101,
1621,S,sedimentary rocks undivided,sedimentary rocks ,Other,67,
1621,S,massive sulphides,massive sulphide,massive_sulphide,101,
1621,S,Sedimentary rocks - undivided,sedimentary rocks ,Other,67,
1621,Slc,claystone mudstone,claystone mudstone,mudstone,101,
1621,Slc,metapelite undivided,pelite,mudstone,101,
1621,A,Altered rock unknown precursor,altered rocks ,unclassified_rock,81,
1621,Cc,colluvium,colluvium,colluvium,101,
1621,U,Ultramafic rocks - undivided,ultramafic rocks ,Other,65,
1621,U,ultramafic rocks undivided,ultramafic rocks ,Other,65,
1621,X,unknown rock,unknown rocks ,unclassified_rock,100,
1621,Sif,iron-formation,iron formation,Other,67,
1621,Cco,colluvial soil,colluvial soil,soil,101,
1621,M,Mafic - undivided,mafic,mafic,101,
1647,TG,GRIT / HARDPAN,grit hardpan,silicate_sandstone,100,
1647,MB,BASALT,basalt,basalt,101,
1647,VG,VEIN - QTZ / GOSSAN,vein qtz gossan,gossan,101,
1647,VS,VEIN - QTZ / SULPHIDE,vein qtz sulphide,massive_sulphide,101,
1647,VQ,VEIN - QUARTZ,vein quartz,vein,101,
2551,Fgg,Pleistocene Acid Intrusive Granite,pleistocene acid intrusive granite,granite,101,
2551,Af,Archaean Acid Extrusive,archaean acid extrusive,felsic,100,
2551,Fe,Pleistocene Migmatite,pleistocene migmatite,migmatite,101,
2551,Tst,Triassic Sediment Siltstone,triassic sediment siltstone,mudstone,101,
2551,Tsu,Triassic Sediment Undifferentiated Sediment,triassic sediment sediment,sediment,101,
2551,Ss,Silurian Sediment,silurian sediment,sediment,101,
2551,Cv,Cambrian Vein material,cambrian vein material,vein,100,
2551,Fp,Pleistocene Massive sulphide,pleistocene massive sulphide,massive_sulphide,101,
2551,Lu,Oligocene Ultramafic Extrusive,oligocene ultramafic extrusive,Other,50,
2551,Lu,Oligocene Ultramafic Intrusive,oligocene ultramafic intrusive,coarse_grained_plutonic_crystalline_igneous_rock,101,
2551,Cs,Cambrian Sediment,cambrian sediment,sediment,101,
2551,Aap,Archaean Amphibolite Metamorphism Para-amphibolite,archaean amphibolite morphism para amphibolite,amphibolite,101,
2551,Cy,Cambrian Mylonite,cambrian mylonite,mylonite,101,
2551,Mb,Miocene Mafic Extrusive,miocene mafic extrusive,mafic,100,
2551,Qv,Quaternary Vein material,quaternary vein material,vein,100,
2551,Qs,Quaternary Sediment,quaternary sediment,sediment,101,
2551,Qctcy,Quaternary Calcrete Clay ,quaternary calcrete clay,mud,101,
2551,Qal,Quaternary Alluvium,quaternary alluvium,alluvium,101,
2551,Ab,Archaean Mafic Extrusive,archaean mafic extrusive,mafic,100,
2551,As,Archaean Sediment,archaean sediment,sediment,101,
2551,Lm,Oligocene Marble,oligocene marble,marble,101,
2551,Qag,Quaternary Amphibolite Metamorphism Gneiss,quaternary amphibolite morphism gneiss,gneiss,101,
2551,Qslcy,Quaternary Soil Clay ,quaternary soil clay,mud,101,
2551,Qap,Quaternary Amphibolite Metamorphism Para-amphibolite,quaternary amphibolite morphism para amphibolite,amphibolite,101,
2551,Sch,Silurian Chemical Sediments Chert,silurian chemical sediment chert,chert,101,
2551,Tc,Triassic Chemical Sediments,triassic chemical sediment,sediment,101,
2551,Lg,Oligocene Acid Intrusive,oligocene acid intrusive,coarse_grained_plutonic_crystalline_igneous_rock,101,
2551,Qhp,Quaternary Hardpan,quaternary hardpan,Other,52,
2551,Tlc,Triassic Lamprophyre/Kimberlites Carbonatite,triassic lamprophyre kimberlite carbonatite,carbonatite,101,
2551,Tf,Triassic Acid Extrusive,triassic acid extrusive,felsic,100,
2551,Mv,Miocene Vein material,miocene vein material,vein,100,
2551,Qas,Quaternary Amphibolite Metamorphism Schist,quaternary amphibolite morphism schist,schist,101,
2551,Qi,Quaternary Intermediate Extrusive,quaternary intermediate extrusive,intermediate,100,
2551,Qi,Quaternary Intermediate Intrusive,quaternary intermediate intrusive,coarse_grained_plutonic_crystalline_igneous_rock,101,
2551,Qfk,Quaternary Ferricrete,quaternary ferricrete,ferricrete,101,
2551,Qct,Quaternary Calcrete,quaternary calcrete,calcrete,101,
2551,Ls,Oligocene Sediment,oligocene sediment,sediment,101,
2551,Cu,Cambrian Ultramafic Extrusive,cambrian ultramafic extrusive,Other,54,
2551,Cu,Cambrian Ultramafic Intrusive,cambrian ultramafic intrusive,coarse_grained_plutonic_crystalline_igneous_rock,101,
2551,Am,Archaean Marble,archaean marble,marble,101,
2551,Qsl,Quaternary Soil,quaternary soil,soil,101,
2551,Tl,Triassic Lamprophyre/Kimberlites,triassic lamprophyre kimberlite,kimberlite,101,
2551,Fg,Pleistocene Acid Intrusive,pleistocene acid intrusive,coarse_grained_plutonic_crystalline_igneous_rock,101,
2551,Lp,Oligocene Massive sulphide,oligocene massive sulphide,massive_sulphide,101,
2551,Sr,Silurian Greenschist Metamorphism,silurian greenschist morphism,greenschist,100,
2551,Qsllk,Quaternary Soil Lithic Fragments ,quaternary soil lithic fragment,soil,100,
2551,Qctfe,Quaternary Calcrete Ferruginuous ,quaternary calcrete ferruginuous,calcrete,100,
2551,Qc,Quaternary Chemical Sediments,quaternary chemical sediment,sediment,101,
2551,Ql,Quaternary Lamprophyre/Kimberlites,quaternary lamprophyre kimberlite,kimberlite,101,
2551,Czsa,Cainozoic Saprolite,cainozoic saprolite,saprolite,101,
2551,Qalcy,Quaternary Alluvium Clay ,quaternary alluvium clay,mud,101,
2551,Qeo,Quaternary Aeolian,quaternary aeolian,Other,59,
2551,Br,Pliocene Greenschist Metamorphism,pliocene greenschist morphism,greenschist,100,
2551,Csm,Cambrian Sediment Limestone ,cambrian sediment limestone,limestone,101,
2551,Cst,Cambrian Sediment Siltstone,cambrian sediment siltstone,mudstone,101,
2551,Lcu,Oligocene Chemical Sediments Undifferentiated Chemical Sediment,oligocene chemical sediment chemical sediment,sediment,101,
2551,Lfc,Oligocene Acid Extrusive Dacite,oligocene acid extrusive dacite,dacite,101,
2551,Ph,Proterozoic Hornfels,proterozoic hornfels,hornfels,101,
2551,Qh,Quaternary Hornfels,quaternary hornfels,hornfels,101,
2551,Hp,Carboniferous Massive sulphide,carboniferous massive sulphide,massive_sulphide,101,
2551,Abs,Archaean Mafic Extrusive Spilitic Basalt,archaean mafic extrusive spilitic basalt,basalt,101,
2551,Fm,Pleistocene Marble,pleistocene marble,marble,101,
2551,Lsu,Oligocene Sediment Undifferentiated Sediment,oligocene sediment sediment,sediment,101,
2551,Qalfe,Quaternary Alluvium Ferruginuous ,quaternary alluvium ferruginuous,alluvium,100,
2551,Aso,Archaean Sediment Dolomite,archaean sediment dolomite,dolostone,101,
2551,Qa,Quaternary Amphibolite Metamorphism,quaternary amphibolite morphism,amphibolite,100,
2551,Sh,Silurian Hornfels,silurian hornfels,hornfels,101,
2551,Lf,Oligocene Acid Extrusive,oligocene acid extrusive,felsic,100,
2551,Lc,Oligocene Chemical Sediments,oligocene chemical sediment,sediment,101,
2551,Fv,Pleistocene Vein material,pleistocene vein material,vein,100,
2551,Ash,Archaean Sediment Shale ,archaean sediment shale,mudstone,101,
2551,Qscfe,Quaternary Silcrete Ferruginuous ,quaternary silcrete ferruginuous,silcrete,100,
2551,Qfkcy,Quaternary Ferricrete Clay ,quaternary ferricrete clay,mud,101,
2551,Pogmt,Proterozoic Mafic Intrusive Gabbro Magnetic,proterozoic mafic intrusive gabbro magnetic,coarse_grained_plutonic_crystalline_igneous_rock,100,
2551,Qlecy,Quaternary Lacustrine Evaporites Clay ,quaternary lacustrine evaporite clay,mud,101,
2551,Tsm,Triassic Sediment Limestone ,triassic sediment limestone,limestone,101,
2551,Shu,Silurian Hornfels Undifferentiated Hornfels,silurian hornfels hornfels,hornfels,101,
2551,Ts,Triassic Sediment,triassic sediment,sediment,101,
2551,Mbm,Miocene Mafic Extrusive High-mag Basalt,miocene mafic extrusive high mag basalt,basalt,101,
2551,Pgg,Proterozoic Acid Intrusive Granite,proterozoic acid intrusive granite,granite,101,
2551,Qctsi,Quaternary Calcrete Siliceous ,quaternary calcrete siliceous,calcrete,100,
2551,Qrs,Quaternary Greenschist Metamorphism Schist,quaternary greenschist morphism schist,schist,101,
2664,Aaa,Archaean Amphibolite Metamorphism Amphibolite undifferentiated,archaean amphibolite morphism amphibolite un,amphibolite,100,
2664,Ach,Archaean Chemical Sediments Chert,archaean chemical sediment chert,chert,101,
2664,Mu,Miocene Ultramafic Intrusive,miocene ultramafic intrusive,coarse_grained_plutonic_crystalline_igneous_rock,101,
2664,Mu,Miocene Ultramafic Extrusive,miocene ultramafic extrusive,Other,52,
2664,Asm,Archaean Sediment Limestone ,archaean sediment limestone,limestone,101,
2664,Qcu,Quaternary Chemical Sediments Undifferentiated Chemical Sediment,quaternary chemical sediment chemical sediment,sediment,101,
2664,Abs,Archaean Mafic Extrusive Spilitic Basalt,archaean mafic extrusive spilitic basalt,basalt,101,
2664,Qcvlt,Quaternary Colluvium Lateritic ,quaternary colluvium lateritic,colluvium,100,
2664,Czlp,Cainozoic Lamprophyre/Kimberlites Phyric lamprophyre,cainozoic lamprophyre kimberlite phyric lamprophyre,lamprophyre,101,
2664,Ash,Archaean Sediment Shale ,archaean sediment shale,mudstone,101,
2664,Aap,Archaean Amphibolite Metamorphism Para-amphibolite,archaean amphibolite morphism para amphibolite,amphibolite,101,
2664,Ah,Archaean Hornfels,archaean hornfels,hornfels,101,
2664,Af,Archaean Acid Extrusive,archaean acid extrusive,felsic,100,
2664,Qst,Quaternary Sediment Siltstone,quaternary sediment siltstone,mudstone,101,
2664,Aodqt,Archaean Mafic Intrusive Dolerite Quartz,archaean mafic intrusive dolerite quartz,vein,101,
2664,Czlt,Cainozoic Lateritic Residuum,cainozoic lateritic residuum,Other,71,
2664,Agd,Archaean Acid Intrusive Granodiorite,archaean acid intrusive granodiorite,granodiorite,101,
2664,Ast,Archaean Sediment Siltstone,archaean sediment siltstone,mudstone,101,
2664,Czis,Cainozoic Intermediate Intrusive Syenite,cainozoic intermediate intrusive syenite,syenite,101,
2664,Ta,Triassic Amphibolite Metamorphism,triassic amphibolite morphism,amphibolite,100,
2664,Czsc,Cainozoic Silcrete,cainozoic silcrete,silcrete,101,
2664,Czmz,Cainozoic Mottled Zone,cainozoic mottled zone,Other,65,
2664,Czsk,Cainozoic Sediment Coal,cainozoic sediment coal,coal,101,
2664,Qas,Quaternary Amphibolite Metamorphism Schist,quaternary amphibolite morphism schist,schist,101,
2664,Czsp,Cainozoic Sediment Sandstone,cainozoic sediment sandstone,sandstone,101,
2664,Agg,Archaean Acid Intrusive Granite,archaean acid intrusive granite,granite,101,
2664,Ag,Archaean Acid Intrusive,archaean acid intrusive,coarse_grained_plutonic_crystalline_igneous_rock,101,
2664,Czla,Cainozoic Lacustrine,cainozoic lacustrine,Other,59,
2664,Czab,Cainozoic Amphibolite Metamorphism Biotite Schist,cainozoic amphibolite morphism biotite schist,schist,101,
2664,Qa,Quaternary Amphibolite Metamorphism,quaternary amphibolite morphism,amphibolite,100,
2664,Lt,Oligocene Granulite Metamorphism,oligocene granulite morphism,granulite,100,
2664,Czas,Cainozoic Amphibolite Metamorphism Schist,cainozoic amphibolite morphism schist,schist,101,
2664,Qlp,Quaternary Lamprophyre/Kimberlites Phyric lamprophyre,quaternary lamprophyre kimberlite phyric lamprophyre,lamprophyre,101,
2664,Qsl,Quaternary Soil,quaternary soil,soil,101,
2664,Czls,Cainozoic Saprock,cainozoic saprock,saprock,101,
2664,Ab,Archaean Mafic Extrusive,archaean mafic extrusive,mafic,100,
2664,Abp,Archaean Mafic Extrusive Picritic Basalt,archaean mafic extrusive picritic basalt,basalt,101,
2664,As,Archaean Sediment,archaean sediment,sediment,101,
2664,Qls,Quaternary Saprock,quaternary saprock,saprock,101,
2664,Arc,Archaean Greenschist Metamorphism Chlorite Schist,archaean greenschist morphism chlorite schist,schist,101,
2664,Aog,Archaean Mafic Intrusive Gabbro,archaean mafic intrusive gabbro,gabbro,101,
2664,Asp,Archaean Sediment Sandstone,archaean sediment sandstone,sandstone,101,
2664,Afu,Archaean Acid Extrusive Undifferentiated Acid  Volcanics,archaean acid extrusive acid volcanics,felsic,100,
2664,Qsc,Quaternary Silcrete,quaternary silcrete,silcrete,101,
2664,Czcv,Cainozoic Colluvium,cainozoic colluvium,colluvium,101,
2664,Aci,Archaean Chemical Sediments BIF,archaean chemical sediment bif,banded_iron_formation,101,
2664,Qcv,Quaternary Colluvium,quaternary colluvium,colluvium,101,
2664,Aod,Archaean Mafic Intrusive Dolerite,archaean mafic intrusive dolerite,dolerite,101,
2664,Cab,Cambrian Amphibolite Metamorphism Biotite Schist,cambrian amphibolite morphism biotite schist,schist,101,
2664,Cb,Cambrian Mafic Extrusive,cambrian mafic extrusive,mafic,100,
2664,Cy,Cambrian Mylonite,cambrian mylonite,mylonite,101,
